instrument,minute,cum
300393.SZ,111,0.020389955703048093
300393.SZ,112,0.020389955703048093
300393.SZ,113,0.020389955703048093
300393.SZ,114,0.022223136784709004
300393.SZ,115,0.022223136784709004
300393.SZ,116,0.020389955703048045
300393.SZ,117,0.022223136784708955
300393.SZ,118,0.024052963461785114
300393.SZ,119,0.024052963461785114
300393.SZ,120,0.024052963461785114
300393.SZ,121,0.024052963461785114
300393.SZ,122,0.025886144543446024
300393.SZ,123,0.024052963461785065
300393.SZ,124,0.024052963461785065
300393.SZ,125,0.025886144543445976
300393.SZ,126,0.025886144543445976
300393.SZ,127,0.024052963461785017
300393.SZ,128,0.024052963461785017
300393.SZ,129,0.024052963461785017
300393.SZ,130,0.025886144543445927
300393.SZ,131,0.024052963461784968
300393.SZ,132,0.024052963461784968
300393.SZ,133,0.022216415654483575
300393.SZ,134,0.024052963461784906
300393.SZ,135,0.022216415654483512
300393.SZ,136,0.024052963461784843
300393.SZ,137,0.02221641565448345
300393.SZ,138,0.02405296346178478
300393.SZ,139,0.022216415654483387
300393.SZ,140,0.022216415654483387
300393.SZ,141,0.022216415654483387
300393.SZ,142,0.024052963461784718
300393.SZ,143,0.022216415654483325
300393.SZ,144,0.022216415654483325
300393.SZ,145,0.022216415654483325
300393.SZ,146,0.022216415654483325
300393.SZ,147,0.024052963461784656
300393.SZ,148,0.022216415654483262
300393.SZ,149,0.024052963461784593
300393.SZ,150,0.024052963461784593
300393.SZ,151,0.025886144543445504
300393.SZ,152,0.025886144543445504
300393.SZ,153,0.024052963461784545
300393.SZ,154,0.024052963461784545
300393.SZ,155,0.024052963461784545
300393.SZ,156,0.024052963461784545
300393.SZ,157,0.024052963461784545
300393.SZ,158,0.02221641565448315
300393.SZ,159,0.024052963461784482
300393.SZ,160,0.024052963461784482
300393.SZ,161,0.02221641565448309
300393.SZ,162,0.02405296346178442
300393.SZ,163,0.02405296346178442
300393.SZ,164,0.02405296346178442
300393.SZ,165,0.022216415654483027
300393.SZ,166,0.022216415654483027
300393.SZ,167,0.022216415654483027
300393.SZ,168,0.024052963461784357
300393.SZ,169,0.022216415654482964
300393.SZ,170,0.02037648873247567
300393.SZ,171,0.02037648873247567
300393.SZ,172,0.02037648873247567
300393.SZ,173,0.02037648873247567
300393.SZ,174,0.022216415654482964
300393.SZ,175,0.02037648873247567
300393.SZ,176,0.02037648873247567
300393.SZ,177,0.02037648873247567
300393.SZ,178,0.02037648873247567
300393.SZ,179,0.02037648873247567
300393.SZ,180,0.02037648873247567
300393.SZ,181,0.02037648873247567
300393.SZ,182,0.022216415654482964
300393.SZ,183,0.022216415654482964
300393.SZ,184,0.022216415654482964
300393.SZ,185,0.022216415654482964
300393.SZ,186,0.02037648873247567
300393.SZ,187,0.022216415654482964
300393.SZ,188,0.022216415654482964
300393.SZ,189,0.022216415654482964
300393.SZ,190,0.024052963461784295
300393.SZ,191,0.020376488732475547
300393.SZ,192,0.022216415654482843
300393.SZ,193,0.022216415654482843
300393.SZ,194,0.022216415654482843
300393.SZ,195,0.022216415654482843
300393.SZ,196,0.022216415654482843
300393.SZ,197,0.022216415654482843
300393.SZ,198,0.022216415654482843
300393.SZ,199,0.022216415654482843
300393.SZ,200,0.022216415654482843
300393.SZ,201,0.022216415654482843
300393.SZ,202,0.022216415654482843
300393.SZ,203,0.024052963461784174
300393.SZ,204,0.024052963461784174
300393.SZ,205,0.020376488732475426
300393.SZ,206,0.02221641565448272
300393.SZ,207,0.02221641565448272
300393.SZ,208,0.020376488732475426
