experiment,arm,label,seed,block,age_start,age_end,date_start,date_end,with_ic,with_icir,without_ic,without_icir,effect_ic
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260823,4,181,240,2024-09-30,2024-12-27,0.035328581824718465,0.6898652296845821,0.03597839628353142,0.6976178945135796,-0.0006498144588129659
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260904,1,1,60,2024-01-02,2024-04-02,0.03990177907878879,0.9504704096958998,0.042346456378488155,1.0767591864219606,-0.002444677299699367
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260904,2,61,120,2024-04-03,2024-07-03,0.04218527708548175,1.089271276516762,0.04359663202535093,1.0959509017359845,-0.0014113549398691767
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260904,3,121,180,2024-07-04,2024-09-27,0.03003222119485918,0.6672383600055012,0.03395972830867961,0.7644590369133055,-0.0039275071138204325
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260904,4,181,240,2024-09-30,2024-12-27,0.0394736388232074,0.69602101849645,0.03607586571861816,0.6754798399095231,0.003397773104589232
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260915,1,1,60,2024-01-02,2024-04-02,0.03988409457363792,0.9796841966018723,0.03974233245927595,1.037477453950547,0.00014176211436197147
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260915,2,61,120,2024-04-03,2024-07-03,0.042315481501615564,1.0407658963908741,0.043526137136817945,1.1006737230513959,-0.0012106556352023709
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260915,3,121,180,2024-07-04,2024-09-27,0.031563636216932096,0.7339111446189978,0.029521476255497933,0.7153245452540019,0.0020421599614341645
E11,e11_add_book_orders,E11 增加挂单笔数与四五档（+4通道）,20260915,4,181,240,2024-09-30,2024-12-27,0.04089341309709736,0.7035065092490032,0.041862034621819935,0.7220149676968249,-0.0009686215247225742
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260801,1,1,60,2024-01-02,2024-04-02,0.044154208348390435,1.1173485002010934,0.04120641357324204,1.0407380265556445,0.0029477947751483866
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260801,2,61,120,2024-04-03,2024-07-03,0.043168840145775614,1.0871460904688877,0.040714434120747156,1.0221648052486974,0.0024544060250284495
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260801,3,121,180,2024-07-04,2024-09-27,0.032992277222426945,0.7714929273803861,0.03205372519143661,0.721749084640684,0.0009385520309903373
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260801,4,181,240,2024-09-30,2024-12-27,0.036037278631203935,0.5990642689293851,0.038738667973032874,0.6509833309353512,-0.0027013893418289412
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260812,1,1,60,2024-01-02,2024-04-02,0.04025759713014622,0.9602225677900107,0.039730493347691874,1.0300010950586365,0.0005271037824543436
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260812,2,61,120,2024-04-03,2024-07-03,0.0426762115513688,0.9207036642269406,0.039911955883827246,0.9828572298647363,0.002764255667541551
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260812,3,121,180,2024-07-04,2024-09-27,0.03460561014324793,0.874672008311077,0.033241628616997414,0.8127493047063101,0.0013639815262505143
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260812,4,181,240,2024-09-30,2024-12-27,0.03533207352778097,0.6280318494761713,0.03853775951294737,0.676927951392319,-0.0032056859851663927
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260823,1,1,60,2024-01-02,2024-04-02,0.03945312543303989,1.0339808125317498,0.04408846998511794,1.1649202040543882,-0.0046353445520780495
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260823,2,61,120,2024-04-03,2024-07-03,0.04181579951814437,1.0004442314454605,0.04278100782252272,1.0986524367357235,-0.0009652083043783455
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260823,3,121,180,2024-07-04,2024-09-27,0.03476571092436946,0.8297704320736463,0.03316127899429355,0.8689011579383924,0.0016044319300759088
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260823,4,181,240,2024-09-30,2024-12-27,0.032354974394009965,0.6469115763234399,0.03597839628353142,0.6976178945135796,-0.003623421889521464
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260904,1,1,60,2024-01-02,2024-04-02,0.042065677763721054,0.9798861544667135,0.042346456378488155,1.0767591864219606,-0.00028077861476710276
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260904,2,61,120,2024-04-03,2024-07-03,0.04371473979292299,1.09182065484361,0.04359663202535093,1.0959509017359845,0.00011810776757205562
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260904,3,121,180,2024-07-04,2024-09-27,0.03458854046062906,0.7016316419140214,0.03395972830867961,0.7644590369133055,0.0006288121519494476
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260904,4,181,240,2024-09-30,2024-12-27,0.039804962174874496,0.6807273933161211,0.03607586571861816,0.6754798399095231,0.0037290964562563442
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260915,1,1,60,2024-01-02,2024-04-02,0.04015429867904379,0.9689459416184381,0.03974233245927595,1.037477453950547,0.0004119662197678476
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260915,2,61,120,2024-04-03,2024-07-03,0.04470619490727637,1.1426391806405718,0.043526137136817945,1.1006737230513959,0.0011800577704584381
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260915,3,121,180,2024-07-04,2024-09-27,0.03322434437143833,0.7353640566219782,0.029521476255497933,0.7153245452540019,0.003702868115940397
E12,e12_add_full_fields,E12 补全更多原始字段（+9通道）,20260915,4,181,240,2024-09-30,2024-12-27,0.038232014401035935,0.6423291753263073,0.041862034621819935,0.7220149676968249,-0.003630020220784
