strategy,scenario,start,end,days,average_one_way_turnover,annualized_return,sharpe,cagr,cumulative_return,max_drawdown,total_fees,terminal_residual_value
every_5d_phase1,fees_slip5,2025-01-02,2026-08-28,402,0.31323783460980825,0.04396001419695011,0.26736813078365745,0.030948077711321353,0.049822404118442964,-0.18498390944359966,0.2763832658466629,0.010689062188591432
every_5d_phase2,gross,2025-01-02,2026-08-28,402,0.3145951495904243,0.3184838041849294,1.861065687935713,0.3549889041074794,0.6235621448047384,-0.11933556512654853,0.0,0.011813512443169444
every_5d_phase2,fees_slip0,2025-01-02,2026-08-28,402,0.31432380031250856,0.23114901201911672,1.3497904275324926,0.24174810524614054,0.41255650994554727,-0.14914490301297245,0.15360064488938338,0.010821226322708297
every_5d_phase2,fees_slip2,2025-01-02,2026-08-28,402,0.3142261096346929,0.19945402820635816,1.1632527523860912,0.20299080996423036,0.34288089106485753,-0.15974129162761364,0.20400926353846827,0.010481584036044156
every_5d_phase2,fees_slip5,2025-01-02,2026-08-28,402,0.3140802488296558,0.1519481767010733,0.8836559798559506,0.14711095468257818,0.2447577764976261,-0.17538980325245135,0.27470658985749297,0.009991996958140112
every_5d_phase3,gross,2025-01-02,2026-08-28,402,0.3141994218848954,0.21955380747996425,1.3462494571434478,0.22904335806560483,0.3895718774362431,-0.15329384154790482,0.0,0.0
every_5d_phase3,fees_slip0,2025-01-02,2026-08-28,402,0.3139276890206282,0.13221979293439512,0.8148645238538789,0.12646790455596446,0.20921586224268274,-0.16156584183604317,0.14288852100956878,0.0
every_5d_phase3,fees_slip2,2025-01-02,2026-08-28,402,0.31382963617135917,0.10051647600960734,0.6199257982673553,0.09134812031838235,0.1496364104364305,-0.16456453257044612,0.18981230410335936,0.0
every_5d_phase3,fees_slip5,2025-01-02,2026-08-28,402,0.31368332750822264,0.05299827797817601,0.3268495950727532,0.040710654526924905,0.06572579449620686,-0.16904297746102614,0.25563590648800355,0.0
every_5d_phase4,gross,2025-01-02,2026-08-28,402,0.31230575638856395,0.19803742198108015,1.2517700498056505,0.20383342633457535,0.3443816851352708,-0.1898586773349068,0.0,0.0
every_5d_phase4,fees_slip0,2025-01-02,2026-08-28,402,0.31204300707442645,0.11132922527200423,0.7047656104847762,0.10393851960813238,0.1708663380223554,-0.20510596472607545,0.1529361051011944,0.0
every_5d_phase4,fees_slip2,2025-01-02,2026-08-28,402,0.31194827459544233,0.07985051488684781,0.5051819909351578,0.06972203706105318,0.11351000316103788,-0.2119103470584469,0.20321674571761933,0.0
